;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 1/14/2025 10:51:12 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0035	0x1283      	BCF        STATUS, 5
0x0036	0x0866      	MOVF       _angle+1, 0
0x0037	0x00F0      	MOVWF      R0
0x0038	0x01F1      	CLRF       R0+1
0x0039	0x0870      	MOVF       R0, 0
0x003A	0x009C      	MOVWF      CCPR2H
;MyProject.c,286 :: 		CCPR2L = angle;
0x003B	0x0865      	MOVF       _angle, 0
0x003C	0x009B      	MOVWF      CCPR2L
;MyProject.c,287 :: 		HL = 0;                      // next time low
0x003D	0x1683      	BSF        STATUS, 5
0x003E	0x01BF      	CLRF       _HL
;MyProject.c,288 :: 		CCP2CON = 0x09;              // compare mode, clear output on match
0x003F	0x3009      	MOVLW      9
0x0040	0x1283      	BCF        STATUS, 5
0x0041	0x009D      	MOVWF      CCP2CON
;MyProject.c,289 :: 		TMR1H = 0;
0x0042	0x018F      	CLRF       TMR1H
;MyProject.c,290 :: 		TMR1L = 0;
0x0043	0x018E      	CLRF       TMR1L
;MyProject.c,291 :: 		}
0x0044	0x285D      	GOTO       L_interrupt30
L_interrupt29:
0x0045	0x1283      	BCF        STATUS, 5
;MyProject.c,293 :: 		CCPR2H = (40000 - angle) >> 8;       // 40000 counts correspond to 20ms
0x0046	0x0865      	MOVF       _angle, 0
0x0047	0x3C40      	SUBLW      64
0x0048	0x00F3      	MOVWF      R3
0x0049	0x0866      	MOVF       _angle+1, 0
0x004A	0x1C03      	BTFSS      STATUS, 0
0x004B	0x3E01      	ADDLW      1
0x004C	0x3C9C      	SUBLW      156
0x004D	0x00F4      	MOVWF      R3+1
0x004E	0x0874      	MOVF       R3+1, 0
0x004F	0x00F0      	MOVWF      R0
0x0050	0x01F1      	CLRF       R0+1
0x0051	0x0870      	MOVF       R0, 0
0x0052	0x009C      	MOVWF      CCPR2H
;MyProject.c,294 :: 		CCPR2L = (40000 - angle);
0x0053	0x0873      	MOVF       R3, 0
0x0054	0x009B      	MOVWF      CCPR2L
;MyProject.c,295 :: 		CCP2CON = 0x08;             // compare mode, set output on match
0x0055	0x3008      	MOVLW      8
0x0056	0x009D      	MOVWF      CCP2CON
;MyProject.c,296 :: 		HL = 1;                     //next time High
0x0057	0x3001      	MOVLW      1
0x0058	0x1683      	BSF        STATUS, 5
0x0059	0x00BF      	MOVWF      _HL
;MyProject.c,297 :: 		TMR1H = 0;
0x005A	0x1283      	BCF        STATUS, 5
0x005B	0x018F      	CLRF       TMR1H
;MyProject.c,298 :: 		TMR1L = 0;
0x005C	0x018E      	CLRF       TMR1L
;MyProject.c,299 :: 		}
L_interrupt30:
;MyProject.c,300 :: 		SET_BIT0_LOW(PIR2);
0x005D	0x100D      	BCF        PIR2, 0
;MyProject.c,301 :: 		}
0x005E	0x2865      	GOTO       L_interrupt31
L_interrupt28:
;MyProject.c,302 :: 		else if (IS_BIT1_HIGH(PIR1))
0x005F	0x1C8C      	BTFSS      PIR1, 1
0x0060	0x2865      	GOTO       L_interrupt32
;MyProject.c,304 :: 		tick++;
0x0061	0x0AE7      	INCF       _tick, 1
0x0062	0x1903      	BTFSC      STATUS, 2
0x0063	0x0AE8      	INCF       _tick+1, 1
;MyProject.c,305 :: 		SET_BIT1_LOW(PIR1);
0x0064	0x108C      	BCF        PIR1, 1
;MyProject.c,306 :: 		}
L_interrupt32:
L_interrupt31:
L_interrupt27:
L_interrupt25:
;MyProject.c,307 :: 		}
L_end_interrupt:
L__interrupt78:
0x0065	0x0826      	MOVF       38, 0
0x0066	0x00F0      	MOVWF      R0
0x0067	0x0825      	MOVF       37, 0
0x0068	0x00F1      	MOVWF      R1
0x0069	0x0824      	MOVF       36, 0
0x006A	0x00F2      	MOVWF      R2
0x006B	0x0823      	MOVF       35, 0
0x006C	0x00F3      	MOVWF      R3
0x006D	0x0822      	MOVF       34, 0
0x006E	0x00F4      	MOVWF      R4
0x006F	0x0821      	MOVF       33, 0
0x0070	0x00F5      	MOVWF      R5
0x0071	0x1683      	BSF        STATUS, 5
0x0072	0x0846      	MOVF       ___savePCLATH, 0
0x0073	0x008A      	MOVWF      PCLATH
0x0074	0x0E47      	SWAPF      ___saveSTATUS, 0
0x0075	0x0083      	MOVWF      STATUS
0x0076	0x0EFF      	SWAPF      R15, 1
0x0077	0x0E7F      	SWAPF      R15, 0
0x0078	0x0009      	RETFIE
; end of _interrupt
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x0079	0x0000      	NOP
0x007A	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x007B	0x0008      	RETURN
; end of _Delay_1us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x007C	0x300F      	MOVLW      15
0x007D	0x1283      	BCF        STATUS, 5
0x007E	0x1303      	BCF        STATUS, 6
0x007F	0x00FC      	MOVWF      R12
0x0080	0x3047      	MOVLW      71
0x0081	0x00FD      	MOVWF      R13
L_Delay_5500us5:
0x0082	0x0BFD      	DECFSZ     R13, 1
0x0083	0x2882      	GOTO       L_Delay_5500us5
0x0084	0x0BFC      	DECFSZ     R12, 1
0x0085	0x2882      	GOTO       L_Delay_5500us5
0x0086	0x0000      	NOP
0x0087	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x0088	0x0008      	RETURN
; end of _Delay_5500us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x0089	0x3021      	MOVLW      33
0x008A	0x1283      	BCF        STATUS, 5
0x008B	0x1303      	BCF        STATUS, 6
0x008C	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x008D	0x0BFD      	DECFSZ     R13, 1
0x008E	0x288D      	GOTO       L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x008F	0x0008      	RETURN
; end of _Delay_50us
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x0090	0x1683      	BSF        STATUS, 5
0x0091	0x1303      	BCF        STATUS, 6
0x0092	0x1BCE      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x0093	0x2897      	GOTO       L__Lcd_Cmd21
0x0094	0x1283      	BCF        STATUS, 5
0x0095	0x1388      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x0096	0x2899      	GOTO       L__Lcd_Cmd22
L__Lcd_Cmd21:
0x0097	0x1283      	BCF        STATUS, 5
0x0098	0x1788      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x0099	0x1683      	BSF        STATUS, 5
0x009A	0x1B4E      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x009B	0x289F      	GOTO       L__Lcd_Cmd23
0x009C	0x1283      	BCF        STATUS, 5
0x009D	0x1308      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x009E	0x28A1      	GOTO       L__Lcd_Cmd24
L__Lcd_Cmd23:
0x009F	0x1283      	BCF        STATUS, 5
0x00A0	0x1708      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x00A1	0x1683      	BSF        STATUS, 5
0x00A2	0x1ACE      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x00A3	0x28A7      	GOTO       L__Lcd_Cmd25
0x00A4	0x1283      	BCF        STATUS, 5
0x00A5	0x1288      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00A6	0x28A9      	GOTO       L__Lcd_Cmd26
L__Lcd_Cmd25:
0x00A7	0x1283      	BCF        STATUS, 5
0x00A8	0x1688      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x00A9	0x1683      	BSF        STATUS, 5
0x00AA	0x1A4E      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x00AB	0x28AF      	GOTO       L__Lcd_Cmd27
0x00AC	0x1283      	BCF        STATUS, 5
0x00AD	0x1208      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00AE	0x28B1      	GOTO       L__Lcd_Cmd28
L__Lcd_Cmd27:
0x00AF	0x1283      	BCF        STATUS, 5
0x00B0	0x1608      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x00B1	0x1683      	BSF        STATUS, 5
0x00B2	0x183C      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00B3	0x28B7      	GOTO       L__Lcd_Cmd29
0x00B4	0x1283      	BCF        STATUS, 5
0x00B5	0x1508      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00B6	0x28B9      	GOTO       L__Lcd_Cmd30
L__Lcd_Cmd29:
0x00B7	0x1283      	BCF        STATUS, 5
0x00B8	0x1108      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x00B9	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,29 :: 		
0x00BA	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x00BB	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,33 :: 		
0x00BC	0x1683      	BSF        STATUS, 5
0x00BD	0x19CE      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x00BE	0x28C2      	GOTO       L__Lcd_Cmd31
0x00BF	0x1283      	BCF        STATUS, 5
0x00C0	0x1388      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00C1	0x28C4      	GOTO       L__Lcd_Cmd32
L__Lcd_Cmd31:
0x00C2	0x1283      	BCF        STATUS, 5
0x00C3	0x1788      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x00C4	0x1683      	BSF        STATUS, 5
0x00C5	0x194E      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x00C6	0x28CA      	GOTO       L__Lcd_Cmd33
0x00C7	0x1283      	BCF        STATUS, 5
0x00C8	0x1308      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00C9	0x28CC      	GOTO       L__Lcd_Cmd34
L__Lcd_Cmd33:
0x00CA	0x1283      	BCF        STATUS, 5
0x00CB	0x1708      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x00CC	0x1683      	BSF        STATUS, 5
0x00CD	0x18CE      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x00CE	0x28D2      	GOTO       L__Lcd_Cmd35
0x00CF	0x1283      	BCF        STATUS, 5
0x00D0	0x1288      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00D1	0x28D4      	GOTO       L__Lcd_Cmd36
L__Lcd_Cmd35:
0x00D2	0x1283      	BCF        STATUS, 5
0x00D3	0x1688      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x00D4	0x1683      	BSF        STATUS, 5
0x00D5	0x184E      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x00D6	0x28DA      	GOTO       L__Lcd_Cmd37
0x00D7	0x1283      	BCF        STATUS, 5
0x00D8	0x1208      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x00D9	0x28DC      	GOTO       L__Lcd_Cmd38
L__Lcd_Cmd37:
0x00DA	0x1283      	BCF        STATUS, 5
0x00DB	0x1608      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x00DC	0x1683      	BSF        STATUS, 5
0x00DD	0x183C      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00DE	0x28E2      	GOTO       L__Lcd_Cmd39
0x00DF	0x1283      	BCF        STATUS, 5
0x00E0	0x1508      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x00E1	0x28E4      	GOTO       L__Lcd_Cmd40
L__Lcd_Cmd39:
0x00E2	0x1283      	BCF        STATUS, 5
0x00E3	0x1108      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x00E4	0x1588      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,41 :: 		
0x00E5	0x2079      	CALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x00E6	0x1188      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,44 :: 		
0x00E7	0x1683      	BSF        STATUS, 5
0x00E8	0x1C3C      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x00E9	0x28EC      	GOTO       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x00EA	0x207C      	CALL       _Delay_5500us
0x00EB	0x28ED      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x00EC	0x2089      	CALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x00ED	0x0008      	RETURN
; end of _Lcd_Cmd
_RES032:
;__Lib_MathDouble.c,123 :: 		
;__Lib_MathDouble.c,128 :: 		
0x00EE	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,129 :: 		
0x00EF	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,130 :: 		
0x00F0	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,131 :: 		
0x00F1	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,132 :: 		
0x00F2	0x01F3      	CLRF       R3
;__Lib_MathDouble.c,133 :: 		
0x00F3	0x3000      	MOVLW      0
;__Lib_MathDouble.c,135 :: 		
L_end_RES032:
0x00F4	0x0008      	RETURN
; end of _RES032
_FIXSIGN32:
;__Lib_MathDouble.c,112 :: 		
;__Lib_MathDouble.c,116 :: 		
0x00F5	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,117 :: 		
0x00F6	0x13F2      	BCF        R2, 7
;__Lib_MathDouble.c,118 :: 		
0x00F7	0x3000      	MOVLW      0
;__Lib_MathDouble.c,120 :: 		
L_end_FIXSIGN32:
0x00F8	0x0008      	RETURN
; end of _FIXSIGN32
_SETFUN32:
;__Lib_MathDouble.c,138 :: 		
;__Lib_MathDouble.c,145 :: 		
0x00F9	0x157B      	BSF        R11, 2
;__Lib_MathDouble.c,146 :: 		
0x00FA	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,147 :: 		
0x00FB	0x2903      	GOTO       SETFUN32EEE
;__Lib_MathDouble.c,148 :: 		
0x00FC	0x3001      	MOVLW      1
;__Lib_MathDouble.c,149 :: 		
0x00FD	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,150 :: 		
0x00FE	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,151 :: 		
0x00FF	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,152 :: 		
0x0100	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,153 :: 		
0x0101	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,154 :: 		
0x0102	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,155 :: 		
SETFUN32EEE:
;__Lib_MathDouble.c,156 :: 		
0x0103	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,158 :: 		
L_end_SETFUN32:
0x0104	0x0008      	RETURN
; end of _SETFUN32
_mydelayms:
;MyProject.c,112 :: 		void mydelayms(unsigned int count)
;MyProject.c,114 :: 		count *= 2;
0x0105	0x1683      	BSF        STATUS, 5
0x0106	0x1303      	BCF        STATUS, 6
0x0107	0x0DCC      	RLF        FARG_mydelayms_count, 1
0x0108	0x0DCD      	RLF        FARG_mydelayms_count+1, 1
0x0109	0x104C      	BCF        FARG_mydelayms_count, 0
;MyProject.c,115 :: 		tick = 0;
0x010A	0x1283      	BCF        STATUS, 5
0x010B	0x01E7      	CLRF       _tick
0x010C	0x01E8      	CLRF       _tick+1
;MyProject.c,116 :: 		while (tick < count);
L_mydelayms0:
0x010D	0x1683      	BSF        STATUS, 5
0x010E	0x084D      	MOVF       FARG_mydelayms_count+1, 0
0x010F	0x1283      	BCF        STATUS, 5
0x0110	0x0268      	SUBWF      _tick+1, 0
0x0111	0x1D03      	BTFSS      STATUS, 2
0x0112	0x2917      	GOTO       L__mydelayms62
0x0113	0x1683      	BSF        STATUS, 5
0x0114	0x084C      	MOVF       FARG_mydelayms_count, 0
0x0115	0x1283      	BCF        STATUS, 5
0x0116	0x0267      	SUBWF      _tick, 0
L__mydelayms62:
0x0117	0x1803      	BTFSC      STATUS, 0
0x0118	0x291A      	GOTO       L_mydelayms1
0x0119	0x290D      	GOTO       L_mydelayms0
L_mydelayms1:
;MyProject.c,117 :: 		}
L_end_mydelayms:
0x011A	0x0008      	RETURN
; end of _mydelayms
_MotorSpeed:
;MyProject.c,161 :: 		CCPR1L = speed;
0x011B	0x1683      	BSF        STATUS, 5
0x011C	0x1303      	BCF        STATUS, 6
0x011D	0x084C      	MOVF       FARG_MotorSpeed_speed, 0
0x011E	0x1283      	BCF        STATUS, 5
0x011F	0x0095      	MOVWF      CCPR1L
;MyProject.c,162 :: 		}
L_end_MotorSpeed:
0x0120	0x0008      	RETURN
; end of _MotorSpeed
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x0121	0x1683      	BSF        STATUS, 5
0x0122	0x1303      	BCF        STATUS, 6
0x0123	0x103C      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,53 :: 		
0x0124	0x084C      	MOVF       FARG_Lcd_Chr_CP_out_char, 0
0x0125	0x00CE      	MOVWF      FARG_Lcd_Cmd_out_char
0x0126	0x2090      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x0127	0x1683      	BSF        STATUS, 5
0x0128	0x143C      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x0129	0x0008      	RETURN
; end of _Lcd_Chr_CP
_mydelayus:
;MyProject.c,119 :: 		void mydelayus(unsigned int count)
;MyProject.c,121 :: 		for (i = 0; i < 2*count; i++)
0x012A	0x1283      	BCF        STATUS, 5
0x012B	0x1303      	BCF        STATUS, 6
0x012C	0x01E9      	CLRF       _i
0x012D	0x01EA      	CLRF       _i+1
L_mydelayus2:
0x012E	0x1683      	BSF        STATUS, 5
0x012F	0x084C      	MOVF       FARG_mydelayus_count, 0
0x0130	0x00F1      	MOVWF      R1
0x0131	0x084D      	MOVF       FARG_mydelayus_count+1, 0
0x0132	0x00F2      	MOVWF      R1+1
0x0133	0x0DF1      	RLF        R1, 1
0x0134	0x0DF2      	RLF        R1+1, 1
0x0135	0x1071      	BCF        R1, 0
0x0136	0x0872      	MOVF       R1+1, 0
0x0137	0x1283      	BCF        STATUS, 5
0x0138	0x026A      	SUBWF      _i+1, 0
0x0139	0x1D03      	BTFSS      STATUS, 2
0x013A	0x293D      	GOTO       L__mydelayus64
0x013B	0x0871      	MOVF       R1, 0
0x013C	0x0269      	SUBWF      _i, 0
L__mydelayus64:
0x013D	0x1803      	BTFSC      STATUS, 0
0x013E	0x2944      	GOTO       L_mydelayus3
;MyProject.c,123 :: 		asm NOP;
0x013F	0x0000      	NOP
;MyProject.c,121 :: 		for (i = 0; i < 2*count; i++)
0x0140	0x0AE9      	INCF       _i, 1
0x0141	0x1903      	BTFSC      STATUS, 2
0x0142	0x0AEA      	INCF       _i+1, 1
;MyProject.c,124 :: 		}
0x0143	0x292E      	GOTO       L_mydelayus2
L_mydelayus3:
;MyProject.c,125 :: 		}
L_end_mydelayus:
0x0144	0x0008      	RETURN
; end of _mydelayus
_SETIOV3224:
;__Lib_MathDouble.c,1000 :: 		
;__Lib_MathDouble.c,1006 :: 		
0x0145	0x147B      	BSF        R11, 0
;__Lib_MathDouble.c,1007 :: 		
0x0146	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,1008 :: 		
0x0147	0x2950      	GOTO       SETIOV3224EEE
;__Lib_MathDouble.c,1010 :: 		
0x0148	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1011 :: 		
0x0149	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,1012 :: 		
0x014A	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,1013 :: 		
0x014B	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,1014 :: 		
0x014C	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,1015 :: 		
0x014D	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,1016 :: 		
0x014E	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,1017 :: 		
0x014F	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,1018 :: 		
SETIOV3224EEE:
;__Lib_MathDouble.c,1019 :: 		
0x0150	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,1021 :: 		
L_end_SETIOV3224:
0x0151	0x0008      	RETURN
; end of _SETIOV3224
_SETFOV32:
;__Lib_MathDouble.c,79 :: 		
;__Lib_MathDouble.c,86 :: 		
0x0152	0x14FB      	BSF        R11, 1
;__Lib_MathDouble.c,87 :: 		
0x0153	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,88 :: 		
0x0154	0x295C      	GOTO       SETFOV32EEE
;__Lib_MathDouble.c,89 :: 		
0x0155	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,90 :: 		
0x0156	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,91 :: 		
0x0157	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,92 :: 		
0x0158	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,93 :: 		
0x0159	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,94 :: 		
0x015A	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,95 :: 		
0x015B	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,96 :: 		
SETFOV32EEE:
;__Lib_MathDouble.c,97 :: 		
0x015C	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,99 :: 		
L_end_SETFOV32:
0x015D	0x0008      	RETURN
; end of _SETFOV32
_NRM3232:
;__Lib_MathDouble.c,167 :: 		
;__Lib_MathDouble.c,173 :: 		
;__Lib_MathDouble.c,175 :: 		
0x015E	0x01A0      	CLRF       __math_tempbD
;__Lib_MathDouble.c,176 :: 		
0x015F	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,177 :: 		
0x0160	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,178 :: 		
0x0161	0x2973      	GOTO       NORM3232
;__Lib_MathDouble.c,179 :: 		
0x0162	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,180 :: 		
0x0163	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,181 :: 		
0x0164	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,182 :: 		
0x0165	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,183 :: 		
0x0166	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,184 :: 		
0x0167	0x15A0      	BSF        __math_tempbD, 3
;__Lib_MathDouble.c,186 :: 		
0x0168	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,187 :: 		
0x0169	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,188 :: 		
0x016A	0x2973      	GOTO       NORM3232
;__Lib_MathDouble.c,189 :: 		
0x016B	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,190 :: 		
0x016C	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,191 :: 		
0x016D	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,192 :: 		
0x016E	0x11A0      	BCF        __math_tempbD, 3
;__Lib_MathDouble.c,193 :: 		
0x016F	0x1620      	BSF        __math_tempbD, 4
;__Lib_MathDouble.c,195 :: 		
0x0170	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,196 :: 		
